"GeneStart","GeneEnd","GeneLocation","Strand","Protein_ID","GeneID","Protein_ID.1","Protein.product","Locus","Length","pi.site","pis.site","pin.site","TajimaD","FuLiF","FuLiD","pi_site","FayWuH","neutindex","alpha","dos","MK_p","Dn","Ds","Pn","Ps","biofilm","Comella","Berka","Kobayashi","Molle","aa","a","PSORTB","Extracellular","PANNZER_OG","PANNZER_NEW","PANNZER_ALL","PANNZER_EX","CAZY","ANTISMASH","antianti","ka","ks","kaks","nonsyn_sites","syn_sites","PI_SITE","PIS_SITE","PIN_SITE","PERCENTwREADS","map_read_len_percent","QS","as","ad","af","ag","ah","sel1[, 50]/sel1[, 49]"
444502,445362,"444502 - 445362","+","WP_003234455.1","B4U62_RS02260","WP_003234455.1"," glucose uptake protein GlcU","glcU",860,7.208602151,6.576344086,0.632258065,-2.11471546,-3.79990548,-3.950576077,0.008382096,NA,NA,NA,NA,1,0,0,8,57,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.011511759,0.301318463,0.038204625,554.6273403,305.3726597,0.008382096,0.021535471,0.001139969,100,0.987604539,0,0,0,0,0,0,0.0529344819066182
445385,446167,"445385 - 446167","+","WP_003246720.1","B4U62_RS02265","WP_003246720.1"," glucose 1-dehydrogenase","gdh",782,8.215053763,7.277419355,0.937634409,-1.727890812,-1.73621562,-1.445756982,0.010505184,NA,NA,NA,NA,1,0,0,9,51,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.015726495,0.29182406,0.053890332,526.878915,255.121085,0.010505184,0.028525354,0.001779601,100,0.993843881,0,0,0,0,0,0,0.0623866403200465
446218,446829,"446218 - 446829","-","WP_003246657.1","B4U62_RS02270","WP_003246657.1"," DUF1775 domain-containing protein","cutI",611,9.935483871,8.176344086,1.759139785,-0.434916313,-0.525218821,-0.525052916,0.016261021,NA,0.8,0.2,0.047619048,1,1,2,16,40,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.038828223,0.348160025,0.11152407,368.9212746,242.0787254,0.016261021,0.033775558,0.004768334,100,1,0,0,0,0,0,0,0.141177060642492
446845,448467,"446845 - 448467","-","WP_003246637.1","B4U62_RS02275","WP_003246637.1"," copper transporter YcnJ","ycnJ",1622,16.21505376,13.97419355,2.240860215,-1.48025376,-2.97875874,-3.206557092,0.009996951,NA,1.415686275,-0.415686275,-0.068943089,0.633032878,6,19,38,85,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.037169361,0.295004135,0.125996069,1009.494219,612.5057815,0.009996951,0.022814795,0.002219785,100,0.986231797,0,0,0,0,0,0,0.0972958556059785
448505,449074,"448505 - 449074","-","WP_003246724.1","B4U62_RS02280","WP_003246724.1"," copper uptake transcriptional regulator YcnK","ycnK",569,6.137634409,4.516129032,1.621505376,-2.063607229,-3.623803105,-3.744581583,0.010786704,NA,0.523809524,0.476190476,0.125786164,0.522222222,1,2,11,42,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.029255706,0.336725812,0.086882874,351.7790892,217.2209108,0.010786704,0.020790489,0.004609442,100,0.990598435,0,0,0,0,0,0,0.221709167110018
449239,449589,"449239 - 449589","+","WP_003246726.1","B4U62_RS02285","WP_003246726.1"," hypothetical protein",NA,350,3.892473118,3.122580645,0.769892473,-1.337543493,-1.381503621,-1.186825371,0.011121352,NA,0.3,0.7,0.269230769,0.444444444,1,1,6,20,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.029587091,0.279026135,0.106036988,226.7499995,123.2500005,0.011121352,0.02533534,0.003395336,100,0.989702935,0,0,0,0,0,0,0.134015805590136
449765,451198,"449765 - 451198","+","WP_010886406.1","B4U62_RS02290","WP_010886406.1"," PTS mannitol transporter subunit IICB","mtlA",1433,13.53978495,13.15268817,0.387096774,-1.702118151,-3.260724065,-3.460613371,0.009448559,NA,0.677419355,0.322580645,0.026350461,0.644401958,2,21,6,93,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.008603342,0.360556109,0.023861312,934.999996,498.000004,0.009448559,0.02641102,0.000414007,100,0.981682265,0,0,0,0,0,0,0.0156755399829314
451226,451654,"451226 - 451654","+","WP_003246714.1","B4U62_RS02295","WP_003246714.1"," PTS sugar transporter subunit IIA","mtlF",428,6.619354839,5.840860215,0.778494624,-1.110368909,-1.663945152,-1.667560331,0.015465782,NA,0.5,0.5,0.114832536,0.400302216,3,8,6,32,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.028965052,0.552928247,0.052384829,282.6382035,145.3617965,0.015465782,0.040181536,0.002754386,100,1,0,0,0,0,0,0,0.0685485492640202
451659,452777,"451659 - 452777","+","WP_003246548.1","B4U62_RS02300","WP_003246548.1"," mannitol-1-phosphate 5-dehydrogenase","mtlD",1118,23.78924731,19.39354839,4.395698925,-1.112432714,-2.159401361,-2.322892441,0.021278397,NA,2.196078431,-1.196078431,-0.11380597,0.681241437,1,7,32,102,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.040720706,0.456805797,0.089142272,716.8269889,401.1730111,0.021278397,0.048342106,0.006132162,100,0.997182452,0,0,0,0,0,0,0.126849293657169
452871,453932,"452871 - 453932","+","WP_003234436.1","B4U62_RS02305","WP_003234436.1"," tartrate dehydrogenase","ycsA",1061,11.81505376,9.625806452,2.189247312,-1.364279332,-2.514375791,-2.654232541,0.011135772,NA,0.784615385,0.215384615,0.042682927,0.674027563,2,6,17,65,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.024330419,0.286719347,0.084857962,699.4772014,361.5227986,0.011135772,0.026625725,0.003129834,100,0.994123881,0,0,0,0,0,0,0.117549249832634
454070,454630,"454070 - 454630","+","WP_003234434.1","B4U62_RS02310","WP_003234434.1"," signal peptidase I","lepB",560,4.825806452,2.980645161,1.84516129,-1.018635029,-1.481721489,-1.474817191,0.008617512,NA,NA,NA,NA,1,0,0,12,15,0,0,0,0,0,0,0,"Cellwall",0,0,0,0,0,0,0,0,0.028582139,0.10093308,0.283179101,364.999999,195.000001,0.008617512,0.01528536,0.005055236,96.77419355,0.9928487,0,0,0,0,0,0,0.330724039211376
454696,455301,"454696 - 455301","-","WP_003246621.1","B4U62_RS02315","WP_003246621.1"," dienelactone hydrolase family protein","yczH",605,6.249462366,1.849462366,4.4,0.859839865,1.62932988,1.632600802,0.01032969,NA,NA,NA,NA,1,0,0,14,6,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.030783353,0.029381744,1.04770342,380.423724,224.576276,0.01032969,0.008235342,0.01156605,96.77419355,0.978282748,0,0,0,0,0,0,1.40444076275157
455387,455776,"455387 - 455776","+","WP_003246580.1","B4U62_RS02320","WP_003246580.1"," beta-hydroxyacyl-ACP dehydratase","ycsD",389,2.270967742,1.492473118,0.778494624,-1.585195852,-2.396832062,-2.379259653,0.005837963,NA,NA,NA,-0.272727273,0.553913043,0,3,6,16,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.021352353,0.187639845,0.113794343,253.999998,135.000002,0.005837963,0.011055356,0.003064939,100,0.993761797,0,0,0,0,0,0,0.277235667490038
455815,455976,"455815 - 455976","-","WP_003234425.1","B4U62_RS02325","WP_003234425.1"," hypothetical protein",NA,161,1.337634409,0.550537634,0.787096774,-1.253157074,-1.644308236,-1.568688347,0.008308288,NA,NA,NA,-0.444444444,1,0,1,4,5,0,0,0,0,0,0,0,"Extracellular",1,0,0,0,0,0,0,0,0.033116273,0.304931929,0.108602181,97.23228561,63.76771439,0.008308288,0.008633485,0.008095015,96.77419355,1,0,0,0,0,0,0,0.937630053217212
456109,456855,"456109 - 456855","+","WP_003234424.1","B4U62_RS02330","WP_003234424.1"," phosphoglycolate phosphatase","ribZ",746,4.008602151,3.324731183,0.683870968,-2.493077214,-4.283342604,-4.386137122,0.005373461,NA,NA,NA,-0.169811321,0.576788526,0,6,9,44,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.016358737,0.287368061,0.056926078,491.249997,254.750003,0.005373461,0.013050956,0.001392104,100,0.987010752,0,0,0,0,0,0,0.106666821955418
457064,457834,"457064 - 457834","+","WP_003234423.1","B4U62_RS02335","WP_003234423.1"," 5-oxoprolinase subunit PpxA","pxpA",770,5.578494624,3.750537634,1.827956989,-1.771794349,-3.496323106,-3.724170922,0.007244798,NA,0.564705882,0.435294118,0.123745819,0.490582651,5,8,12,34,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.029682557,0.214253097,0.138539688,501.999999,268.000001,0.007244798,0.013994543,0.003641349,100,0.988830542,0,0,0,0,0,0,0.260197778519813
457852,459063,"457852 - 459063","+","WP_003234422.1","B4U62_RS02340","WP_003234422.1"," divalent metal cation transporter","pxpG",1211,8.653763441,7.04516129,1.608602151,-1.467492989,-2.573880396,-2.676912381,0.007145965,NA,0.218181818,0.781818182,0.234972678,0.297715054,1,2,6,55,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.00787638,0.191203248,0.041193757,795,416,0.007145965,0.016935484,0.002023399,100,0.979636265,0,0,0,0,0,0,0.119476892423033
459090,459860,"459090 - 459860","+","WP_010886407.1","B4U62_RS02345","WP_010886407.1"," putative hydro-lyase","pxpI",770,8.296774194,6.546236559,1.750537634,-1.979548034,-3.582675143,-3.736211641,0.010775031,NA,0.72,0.28,0.068627451,1,1,2,18,50,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.035139963,0.289363187,0.121438954,503.1273368,266.8726632,0.010775031,0.024529438,0.003479313,100,0.993039929,0,0,0,0,0,0,0.141842344696197
459908,460627,"459908 - 460627","+","WP_003234420.1","B4U62_RS02350","WP_003234420.1"," 5-oxoprolinase subunit B","pxpB",719,9.43655914,6.249462366,3.187096774,-1.673653494,-2.84838054,-2.931436178,0.013124561,NA,NA,NA,-0.264705882,0.56602222,0,3,18,50,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.036748204,0.340335782,0.107976315,469.9895964,249.0104036,0.013124561,0.025097194,0.006781207,100,0.993307455,0,0,0,0,0,0,0.270197815739879
460633,461637,"460633 - 461637","+","WP_003234419.1","B4U62_RS02355","WP_003234419.1"," 5-oxoprolinase subunit PxpC","pxpC",1004,6.167741935,4.782795699,1.384946237,-2.255225574,-3.416346906,-3.37494819,0.006143169,NA,1.58490566,-0.58490566,-0.083783784,0.750779871,3,12,21,53,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.033760642,0.254830513,0.132482731,652.499993,351.500007,0.006143169,0.013606815,0.002122523,100,0.994335639,0,0,0,0,0,0,0.15598970074922
461656,462405,"461656 - 462405","+","WP_003246517.1","B4U62_RS02360","WP_003246517.1"," IclR family transcriptional regulator","pxpR",749,4.864516129,3.76344086,1.101075269,-2.433390578,-3.892196325,-3.905985755,0.006494681,NA,0.598639456,0.401360544,0.089393939,0.444165582,3,8,11,49,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.026060384,0.347132218,0.075073367,474.6273378,274.3726622,0.006494681,0.01371653,0.002319873,100,0.994002484,0,0,0,0,0,0,0.169129728874577
462472,463110,"462472 - 463110","+","WP_003234415.1","B4U62_RS02365","WP_003234415.1"," spore germination lipase LipC","lipC",638,6.511827957,4.391397849,2.120430108,-2.319023767,-3.755566591,-3.786977405,0.010206627,NA,0.875,0.125,0.028985507,1,3,6,21,48,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.054020711,0.43169868,0.125135223,414.7553934,223.2446066,0.010206627,0.01967079,0.005112484,100,0.995980303,0,0,0,0,0,0,0.259902322174148
463286,463528,"463286 - 463528","+","WP_003240256.1","B4U62_RS02370","WP_003240256.1"," YczI family protein","yczI",242,1.724731183,1.724731183,0,-1.379811936,-2.64579226,-2.792962717,0.007126988,NA,0,1,0.4,0.073529412,2,3,0,12,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.011132743,0.278596747,0.039960062,164.5,77.5,0.007126988,0.022254596,0,96.77419355,0.990689748,0,0,0,0,0,0,0
463540,463824,"463540 - 463824","-","WP_003234413.1","B4U62_RS02375","WP_003234413.1"," antibiotic biosynthesis monooxygenase","yczJ",284,2.683870968,1.995698925,0.688172043,-1.383762236,-2.701999311,-2.870740019,0.00945025,NA,1.142857143,-0.142857143,-0.022222222,1,1,4,4,14,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,1,0,0,0,0,0.022528662,0.339613166,0.066336246,177.7250602,106.2749398,0.00945025,0.018778641,0.003872116,100,0.968301971,0,0,0,0,0,0,0.206197881944705
463975,465978,"463975 - 465978","+","WP_003246590.1","B4U62_RS02380","WP_003246590.1"," penicillin-binding protein 3","pbpC",2003,17.56129032,13.9655914,3.595698925,-1.776152087,-3.631471753,-3.911764984,0.008767494,NA,0.732727273,0.267272727,0.057919622,0.559098726,5,13,31,110,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.025400251,0.288917018,0.087915384,1322.515838,680.4841617,0.008767494,0.020523022,0.002718832,100,0.989809858,0,0,0,0,0,0,0.132477176119579
466082,466981,"466082 - 466981","+","WP_003246655.1","B4U62_RS02385","WP_003246655.1"," aldo/keto reductase family oxidoreductase","ycsN",899,13.79354839,9.556989247,4.23655914,-1.207888549,-2.231361447,-2.364661817,0.015343213,NA,1,0,0,1,2,6,20,60,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.029264123,0.35783125,0.08178191,582.5310861,316.4689139,0.015343213,0.030198825,0.007272675,100,0.996534848,0,0,0,0,0,0,0.240826422882347
467170,469251,"467170 - 469251","+","WP_003246695.1","B4U62_RS02390","WP_003246695.1"," mannitol operon transcriptional activator MtlR","mtlR",2081,19.49677419,13.98709677,5.509677419,-1.698764911,-2.911720635,-3.005167589,0.009368945,NA,0.914754098,0.085245902,0.014776925,0.788925633,5,18,31,122,0,0,1,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.024101082,0.314309566,0.076679442,1342.018514,738.9814863,0.009368945,0.018927533,0.004105515,100,0.982919468,0,0,0,0,0,0,0.216907031677081
469466,470974,"469466 - 470974","+","WP_003246534.1","B4U62_RS02395","WP_003246534.1"," acyl--CoA ligase","ydaB",1508,16.64946237,13.17849462,3.470967742,-1.527194101,-2.21193282,-2.173613731,0.011040758,NA,2.205992509,-1.205992509,-0.121969697,0.283646548,3,19,31,89,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.031563365,0.336228711,0.093874688,997.804867,510.195133,0.011040758,0.025830303,0.003478604,100,0.99385561,0,0,0,0,0,0,0.134671436103556
471000,471593,"471000 - 471593","-","WP_003234403.1","B4U62_RS02400","WP_003225080.1"," class I SAM-dependent methyltransferase","ydaC",593,5.539784946,2.507526882,3.032258065,-1.73764255,-2.685638295,-2.682941013,0.009341964,NA,0.851851852,0.148148148,0.04,1,6,6,23,27,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.065940347,0.262847788,0.250868945,370.5684502,222.4315498,0.009341964,0.011273252,0.008182721,100,0.990490084,0,0,0,0,0,0,0.725852753047657
471749,472606,"471749 - 472606","+","WP_003246648.1","B4U62_RS02405","WP_003246648.1"," SDR family oxidoreductase","ydaD",857,8.309677419,7.294623656,1.015053763,-1.669657096,-2.946024894,-3.060574542,0.00969624,NA,2.315789474,-1.315789474,-0.09057971,0.679336812,1,11,12,57,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.022278669,0.398137212,0.055957263,566.1382005,290.8617995,0.00969624,0.025079346,0.001792943,100,0.997789516,0,0,0,0,0,0,0.0714908195771931
472625,473125,"472625 - 473125","+","WP_003234400.1","B4U62_RS02410","WP_003234400.1"," D-lyxose ketol-isomerase","lyxE",500,4.860215054,4.098924731,0.761290323,-1.000499533,-1.285960143,-1.229678156,0.00972043,NA,NA,NA,-0.194444444,1,0,1,7,29,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.02017542,0.272000772,0.074174127,329.4999975,170.5000025,0.00972043,0.024040614,0.002310441,100,0.996479774,0,0,0,0,0,0,0.0961057400613811
473214,473762,"473214 - 473762","+","WP_003246691.1","B4U62_RS02415","WP_003246691.1"," GNAT family N-acetyltransferase","ydaF",548,8.748387097,4.309677419,4.438709677,-1.005858701,-1.088929413,-0.970357937,0.01596421,NA,NA,NA,-0.403846154,0.51572327,0,2,21,31,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.048503716,0.311855381,0.155532723,349.3680899,198.6319101,0.01596421,0.021696803,0.012704966,100,0.99240299,0,0,0,0,0,0,0.585568574319452
473843,474262,"473843 - 474262","+","WP_003234396.1","B4U62_RS02420","WP_003234396.1"," pyridoxamine 5'-phosphate oxidase family protein","ydaG",419,5.066666667,4.438709677,0.627956989,-1.531541671,-2.941253709,-3.11885002,0.012092283,NA,0.518518519,0.481481481,0.12745098,0.52972973,1,2,7,27,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.025921982,0.346548745,0.074800393,274.499997,144.500003,0.012092283,0.030717713,0.002287639,96.77419355,0.993212842,0,0,0,0,0,0,0.0744729596243054
474771,475577,"474771 - 475577","+","WP_003234394.1","B4U62_RS02425","WP_003234394.1"," lipid II flippase Amj","amj",806,12.89892473,10.95913978,1.939784946,-1.179358721,-2.247902464,-2.4006486,0.016003629,NA,1.229508197,-0.229508197,-0.030701754,1,1,5,15,61,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.027309435,0.37552927,0.072722519,520.2954887,285.7045113,0.016003629,0.038358301,0.003728237,100,0.993309439,0,0,0,0,0,0,0.0971950504272856
475627,475914,"475627 - 475914","-","WP_003246602.1","B4U62_RS02430","WP_003246602.1"," DUF3817 domain-containing protein","ydzA",287,2.868817204,1.561290323,1.307526882,-1.243283013,-2.116103983,-2.182656804,0.009995879,NA,0.133333333,0.866666667,0.456140351,0.168831169,2,1,4,15,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.03079739,0.226484505,0.135980118,175.796427,111.203573,0.009995879,0.014039929,0.007437733,96.77419355,0.97694269,0,0,0,0,0,0,0.529755741642283
476099,476530,"476099 - 476530","+","WP_003246585.1","B4U62_RS02435","WP_003246585.1"," transcriptional regulator LrpC","lrpC",431,5.027956989,4.96344086,0.064516129,-1.415536463,-2.63162621,-2.773223524,0.011665793,NA,0.0625,0.9375,0.303030303,0.161904762,1,2,1,32,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.006324951,0.341174251,0.01853877,277,154,0.011665793,0.032230135,0.00023291,96.77419355,0.997033742,0,0,0,0,0,0,0.00722646678333802
476598,478778,"476598 - 478778","+","WP_003246684.1","B4U62_RS02440","WP_003246684.1"," DNA topoisomerase III","topB",2180,20.91182796,18.24516129,2.666666667,-1.781899626,-3.228767698,-3.379420969,0.009592582,NA,0.373706004,0.626293996,0.148211661,0.064567029,7,19,19,138,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.01623975,0.330460405,0.049142803,1418.499992,761.500008,0.009592582,0.023959502,0.00187992,100,0.991610539,0,0,0,0,0,0,0.0784623987593732
478984,480069,"478984 - 480069","+","WP_003246551.1","B4U62_RS02445","WP_003246551.1"," lipoprotein","epsJ",1085,11.31612903,6.610752688,4.705376344,-1.586540967,-3.00377702,-3.181493737,0.010429612,NA,0.918518519,0.081481481,0.019909502,1,10,16,31,54,0,1,0,0,0,0,0,"Unknown",0,0,0,0,0,1,0,0,0.053265152,0.279121787,0.190831222,702.3881965,382.6118035,0.010429612,0.017277963,0.006699111,96.77419355,0.993480257,1,0,0,0,0,0,0.387725740586434
480053,480901,"480053 - 480901","+","WP_003246541.1","B4U62_RS02450","WP_003246541.1"," cyclic-di-GMP receptor EpsK","epsK",848,9.604301075,6.352688172,3.251612903,-1.42647679,-2.022790523,-1.976645232,0.011325827,NA,2.933333333,-1.933333333,-0.185501066,0.211807058,2,12,22,45,0,1,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.03878122,0.286391509,0.135413302,544.5209386,303.4790614,0.011325827,0.020932871,0.005971511,96.77419355,0.999960877,1,0,0,0,0,0,0.285269564791184
480915,482621,"480915 - 482621","+","WP_010886408.1","B4U62_RS02455","WP_010886408.1"," DUF2334 domain-containing protein","ydaL",1706,24.13763441,16.00430108,8.133333333,-1.335583889,-2.528167109,-2.691518207,0.014148672,NA,0.6740638,0.3259362,0.093550955,0.320064234,14,18,54,103,0,1,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.056073004,0.336699225,0.166537371,1107.813149,598.1868505,0.014148672,0.026754686,0.007341792,96.77419355,0.98951267,1,0,0,0,0,0,0.27441144328885
482617,483876,"482617 - 483876","+","WP_003246697.1","B4U62_RS02460","WP_003246697.1"," glycosyltransferase family 2 protein","ydaM",1259,8.206451613,7.767741935,0.438709677,-2.024753463,-3.22944536,-3.249593967,0.00651823,NA,1.044776119,-0.044776119,-0.002777778,1,1,14,5,67,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,1,0,1,0,0,0.006658715,0.3257713,0.020439845,832.9999975,426.0000025,0.00651823,0.018234136,0.000526662,96.77419355,0.99567168,0,0,0,0,0,0,0.028883298885124
483885,485993,"483885 - 485993","+","WP_003246598.1","B4U62_RS02465","WP_003246598.1"," cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB","ydaN",2108,26.61935484,18.32688172,8.292473118,-1.466721509,-2.531095298,-2.626774455,0.012627777,NA,3.27443609,-2.27443609,-0.201666667,0.152099603,2,13,67,133,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.045846423,0.327377283,0.140041553,1372.499988,735.500012,0.012627777,0.024917582,0.006041875,96.77419355,0.987736743,0,0,0,0,0,0,0.242474370105414
486472,488292,"486472 - 488292","+","WP_003246693.1","B4U62_RS02470","WP_003246693.1"," potassium transporter KimA","kimA",1820,25.39354839,23.37204301,2.021505376,-1.419805103,-2.496018614,-2.605098685,0.013952499,NA,1.25,-0.25,-0.017416546,1,1,12,15,144,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.011720502,0.386641664,0.030313604,1176.6382,643.3617995,0.013952499,0.036327993,0.001718035,100,0.958333329,0,0,0,0,0,0,0.0472923180754852
488354,488800,"488354 - 488800","+","WP_003246544.1","B4U62_RS02475","WP_003246544.1"," 8-oxo-dGTP diphosphatase MutT","mutT",446,4.701075269,2.511827957,2.189247312,0.148441376,0.005253427,-0.118407158,0.010540528,NA,0,1,0.56,0.461538462,1,0,11,14,0,0,0,0,0,0,0,"Unknown",0,0,0,0,0,0,0,0,0.040138788,0.124599459,0.322142555,280.776408,165.223592,0.010540528,0.015202599,0.00779712,96.77419355,0.978781361,0,0,0,0,0,0,0.512880725197054
488870,490591,"488870 - 490591","+","WP_003246569.1","B4U62_RS02480","WP_003246569.1"," pyruvate oxidase","poxB",1721,24.13763441,22.45591398,1.68172043,-0.749793458,-1.482508966,-1.62193793,0.014025354,NA,0.537815126,0.462184874,0.081481481,0.481800342,1,4,16,119,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.013636199,0.332725849,0.040983287,1126.516114,594.4838861,0.014025354,0.037773798,0.001492851,100,0.99371669,0,0,0,0,0,0,0.0395208075184815
490589,490789,"490589 - 490789","-","WP_119122842.1","B4U62_RS02485","WP_119122842.1"," hypothetical protein",NA,200,3.591397849,0.989247312,2.602150538,-0.530379723,0.233339357,0.503458549,0.017956989,NA,NA,NA,NA,1,0,0,14,4,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.105584243,0.068974312,1.530776315,126.4999985,73.5000015,0.017956989,0.013459147,0.02057036,100,0.958728655,0,0,0,0,0,0,1.5283554002345
490820,491083,"490820 - 491083","-","WP_009966591.1","B4U62_RS02490","WP_009966591.1"," hypothetical protein",NA,263,3.569892473,2.929032258,0.640860215,-1.519952912,-2.056629593,-1.972184758,0.013573736,NA,NA,NA,NA,1,0,0,5,20,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.02829443,0.375865216,0.075278127,164.0698767,98.93012328,0.013573736,0.029607082,0.00390602,100,0.98779751,0,0,0,0,0,0,0.131928570333274
491190,492464,"491190 - 492464","-","WP_003234364.1","B4U62_RS02495","WP_003234364.1"," Nramp family divalent metal transporter","mntH",1274,13.97419355,11.95268817,2.021505376,-1.612098737,-3.032902067,-3.208120553,0.010968755,NA,0.178571429,0.821428571,0.293617021,0.027558817,4,6,10,84,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.014070286,0.322673133,0.043605386,779.8124528,494.1875472,0.010968755,0.024186543,0.002592297,100,0.999040839,0,0,0,0,0,0,0.107179310412406
492697,492951,"492697 - 492951","-","WP_003246519.1","B4U62_RS02500","WP_003246519.1"," GlsB/YeaQ/YmgE family stress response membrane protein","ydaS",254,2.825806452,2.438709677,0.387096774,-1.702313305,-3.149632623,-3.297517372,0.011125222,NA,NA,NA,-0.210526316,1,0,2,4,15,0,0,0,0,0,0,0,"CytoplasmicMembrane",0,0,0,0,0,0,0,0,0.021003506,0.282701658,0.074295659,159.7958249,94.20417509,0.011125222,0.02588749,0.002422446,100,0.996749187,0,0,0,0,0,0,0.0935759318497081
493032,493481,"493032 - 493481","-","WP_003246574.1","B4U62_RS02505","WP_003246574.1"," DUF2188 domain-containing protein","ydaT",449,3.944086022,3.105376344,0.838709677,-2.295160491,-4.049025912,-4.179339885,0.008784156,NA,0.8,0.2,0.047619048,1,1,2,12,30,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.039604335,0.349059042,0.113460275,288.5289575,160.4710425,0.008784156,0.019351631,0.002906847,100,0.993733532,0,0,0,0,0,0,0.150211989883437
493599,494414,"493599 - 494414","+","WP_003246628.1","B4U62_RS02510","WP_003246628.1"," EcsC family protein","ydbA",815,10.05591398,7.716129032,2.339784946,-1.904393106,-3.26788591,-3.363223607,0.012338545,NA,0.615384615,0.384615385,0.098039216,0.683680045,3,6,20,65,0,0,0,0,0,0,0,"Cytoplasmic",0,0,0,0,0,0,0,0,0.039434981,0.452789407,0.087093426,526.6381985,288.3618015,0.012338545,0.026758499,0.00444287,100,0.989719958,0,0,0,0,0,0,0.166035845284147
494546,494914,"494546 - 494914","+","WP_003246542.1","B4U62_RS02515","WP_003246542.1"," glucose starvation-inducible protein GsiB","gsiB",368,3.565591398,2.503225806,1.062365591,-2.241856548,-3.598555353,-3.617611015,0.009689107,NA,NA,NA,-0.263157895,1,0,2,10,28,0,0,0,0,0,0,0,"Extracellular",1,0,0,0,0,0,0,0,0.039987499,0.476693055,0.083885213,245.6044221,122.3955779,0.009689107,0.02045193,0.004325515,96.77419355,0.986559139,0,0,0,0,0,0,0.211496665595863
